BoardSize,MutationRate,TypeOfStartEnvironment,FitnessTimeStep,CostToLive,FitnessRepThreshold,DirectFitnessTimer,DirectFitnessRange,DirectFitnessBenefit,DirectFitnessCost,DirectFitnessbcRatio,DirectFitnessExploitability,DoDirectFitness,DiffusionTimeStep,DiffusionConstG,DiffusionCutOff,DoDiffusion,ColorSecretionTimeStep,ColorSecreted,AmountColorSecreted,ColorSecretionCostPerTimeStep,DoColorSecretion,ColorMetabolismTimeStep,ColorMetNoUptake,ColorUptakeG,ColorUptakeB,ColorUptakeR,ColorFitnessPerUnitG,ColorFitnessPerUnitB,DoColorMetabolism,ColorFitnessPerUnitR,DoBiofilm,ExploitersDoBiofilms,BiofilmRange,BiofilmViscosity,BiofilmCost,BiofilmUptakeMultR,DoFlow,FlowOutOfBoard,FlowTimeStep,FlowProportionalToAmount,FlowAmountPerTimeStep,DoDegradation,DegradationReducedByBiofilm,DegradationTimeStep,DegradationProportional,DegradationAmountPerTimeStep,TimeTaken,CellID,HighestProducerCount,LowestProducerCount,TimeAtHighestProdCount,TimeAtLowestProdCount,HighestProducerCountAfterStable,LowestProducerCountAfterStable,TimeAtHighestProdCountAfterStable,TimeAtLowestProdCountAfterStable,CellCountmean,CellCountvariance,CellCountmeanPast1000,CellCountvariancePast1000,ProducerFrequencymean,ProducerFrequencyvariance,ProducerFrequencymeanPast1000,ProducerFrequencyvariancePast1000,ProducerCountmean,ProducerCountvariance,ProducerCountmeanPast1000,ProducerCountvariancePast1000
30,0,HalfAndHalf,1,-0.1,1,5,1,1,0.1,10,1,False,0.5,0.15,1,True,1,Green,5000,0.15,True,1,False,10000,10000,100,0.0001,0.0001,True,-0.01,False,False,1,3,0.05,0.01,False,True,1,True,0.7,False,False,2,True,0.5,3000.904,655563,1440,0,43.457,1551.09,198,0,1096.6,1551.09,2791,0,2791,0,0.09898475,0.02291824,0.00918966,0.0003443691,276.2665,178523.9,25.64833,2682.58
30,0,HalfAndHalf,1,-0.1,1,5,1,1,0.1,10,1,False,0.5,0.15,1,True,1,Green,5000,0.15,True,1,False,10000,10000,100,0.0001,0.0001,True,-0.01,False,False,1,3,0.05,0.01,False,True,1,True,0.7,False,False,2,True,0.5,3000.012,676330,1429,0,15.85311,2265.55,118,0,1035.84,2265.55,2791,0,2791,0,0.1022872,0.02328583,0.01099219,0.0001674458,285.4838,181391.4,30.67917,1304.349
30,0,HalfAndHalf,1,-0.1,1,5,1,1,0.1,10,1,False,0.5,0.15,1,True,1,Green,5000,0.15,True,1,False,10000,10000,100,0.0001,0.0001,True,-0.01,False,False,1,3,0.05,0.01,False,True,1,True,0.7,False,False,2,True,0.5,3000.78,653213,1431,0,23.46968,1499.909,100,0,1000.285,1499.909,2791,0,2791,0,0.09246664,0.02278204,0.003037204,4.722582E-05,258.0746,177463.6,8.476834,367.8807
30,0,HalfAndHalf,1,-0.1,1,5,1,1,0.1,10,1,False,0.5,0.15,1,True,1,Green,5000,0.15,True,1,False,10000,10000,100,0.0001,0.0001,True,-0.01,False,False,1,3,0.05,0.01,False,True,1,True,0.7,False,False,2,True,0.5,3000.782,661733,1433,0,14.83886,1231.21,162,0,1000.343,1231.21,2791,0,2791,0,0.09545699,0.02354237,0.002654542,9.022219E-05,266.4202,183386.4,7.408829,702.8043
30,0,HalfAndHalf,1,-0.1,1,5,1,1,0.1,10,1,False,0.5,0.15,1,True,1,Green,5000,0.15,True,1,False,10000,10000,100,0.0001,0.0001,True,-0.01,False,False,1,3,0.05,0.01,False,True,1,True,0.7,False,False,2,True,0.5,3000.268,661457,1434,0,19.78909,1197.224,158,0,1036.744,1197.224,2791,0,2791,0,0.09576418,0.02443124,0.002518126,9.712662E-05,267.2777,190314.3,7.02809,756.6002
30,0,HalfAndHalf,1,-0.1,1,5,1,1,0.1,10,1,False,0.5,0.15,1,True,1,Green,5000,0.15,True,1,False,10000,10000,100,0.0001,0.0001,True,-0.01,False,False,1,3,0.05,0.01,False,True,1,True,0.7,False,False,2,True,0.5,3000.642,662809,1433,0,27.43091,1736.566,165,0,1001.788,1736.566,2791,0,2791,0,0.09665148,0.0234236,0.007991406,0.0001909928,269.7545,182460.9,22.30402,1487.81
30,0,HalfAndHalf,1,-0.1,1,5,1,1,0.1,10,1,False,0.5,0.15,1,True,1,Green,5000,0.15,True,1,False,10000,10000,100,0.0001,0.0001,True,-0.01,False,False,1,3,0.05,0.01,False,True,1,True,0.7,False,False,2,True,0.5,3000.379,644311,1430,0,15.49851,1485.985,105,0,1017.777,1485.985,2791,0,2791,0,0.08664992,0.02104361,0.00334619,5.605015E-05,241.84,163923.8,9.339215,436.6145
30,0,HalfAndHalf,1,-0.1,1,5,1,1,0.1,10,1,False,0.5,0.15,1,True,1,Green,5000,0.15,True,1,False,10000,10000,100,0.0001,0.0001,True,-0.01,False,False,1,3,0.05,0.01,False,True,1,True,0.7,False,False,2,True,0.5,3000.633,644575,1437,0,30.19026,1668.549,103,0,1000.74,1668.549,2791,0,2791,0,0.08308272,0.02122404,0.003880846,6.231805E-05,231.8833,165327.9,10.83144,485.4306
30,0,HalfAndHalf,1,-0.1,1,5,1,1,0.1,10,1,False,0.5,0.15,1,True,1,Green,5000,0.15,True,1,False,10000,10000,100,0.0001,0.0001,True,-0.01,False,False,1,3,0.05,0.01,False,True,1,True,0.7,False,False,2,True,0.5,3000.427,675791,1437,0,26.24679,1531.316,276,0,1000.379,1531.316,2791,0,2791,0,0.1159965,0.02685548,0.009485935,0.0004596472,323.7458,209199.6,26.47525,3580.518
30,0,HalfAndHalf,1,-0.1,1,5,1,1,0.1,10,1,False,0.5,0.15,1,True,1,Green,5000,0.15,True,1,False,10000,10000,100,0.0001,0.0001,True,-0.01,False,False,1,3,0.05,0.01,False,True,1,True,0.7,False,False,2,True,0.5,3000.263,653214,1444,0,55.5764,1258.431,102,0,1003.465,1258.431,2791,0,2791,0,0.09208407,0.02505675,0.001821674,3.911031E-05,257.0064,195180.9,5.084291,304.6465
